profile,姓名,id,等级,武力,满武力,书籍经验,总资质
ssqwerty,零零发,1,400,534,535,384,570
ssqwerty,鳌拜,2,400,543,544,376,594
ssqwerty,和珅,3,350,184,204,4108,1069
ssqwerty,郑板桥,4,300,171,186,3025,207
ssqwerty,喜来乐,5,250,188,206,3636,224
ssqwerty,苏乞儿,6,400,564,611,9546,606
ssqwerty,李卫,7,300,176,184,1724,746
ssqwerty,刘伯温,8,350,464,500,7341,500
ssqwerty,林则徐,9,350,251,259,1781,287
ssqwerty,方世玉,10,335,335,341,1284,398
ssqwerty,多尔衮,11,350,395,433,7712,443
ssqwerty,左宗棠,12,400,525,539,2920,561
ssqwerty,张之洞,13,400,494,513,3914,557
ssqwerty,蒲松龄,14,250,171,183,2551,426
ssqwerty,李鸿章,15,300,178,187,1924,214
ssqwerty,李寻欢,16,400,566,597,6301,608
ssqwerty,索尼,17,300,170,178,1671,842
ssqwerty,胡雪岩,18,250,191,198,1486,227
ssqwerty,曹雪芹,19,300,149,157,1694,176
ssqwerty,海大富,20,400,535,580,9096,571
ssqwerty,华佗,21,300,157,164,1490,1012
ssqwerty,墨子,22,350,312,357,9107,348
ssqwerty,杜甫,23,400,500,509,1833,542
ssqwerty,廉颇,24,400,505,531,5373,532
ssqwerty,庄周,25,200,32,32,118,83
ssqwerty,李元芳,26,300,400,452,10487,436
ssqwerty,鲁班,27,59,20,20,70,47
ssqwerty,孙武,28,400,518,548,6157,545
ssqwerty,张良,29,58,62,63,325,176
ssqwerty,姜子牙,30,58,33,52,3955,60
ssqwerty,孙膑,31,53,20,20,66,47
ssqwerty,关羽,33,400,524,535,2341,551
ssqwerty,张飞,34,400,682,693,2243,718
ssqwerty,赵云,35,400,588,598,2090,615
ssqwerty,马超,36,500,4833,4916,16677,4857
ssqwerty,黄忠,37,400,596,609,2617,623
ssqwerty,诸葛亮,38,400,528,539,2242,564
ssqwerty,庞统,39,400,500,514,2927,539
ssqwerty,周瑜,40,400,499,511,2401,535
ssqwerty,郭嘉,41,400,561,582,4222,600
ssqwerty,匈奴王,42,47,99,158,11980,114
ssqwerty,荆轲,43,400,654,664,2123,1185
ssqwerty,韦小宝,44,400,507,520,2766,6909
ssqwerty,黄飞鸿,45,400,617,628,2221,1337
ssqwerty,李白,46,400,521,530,1970,626
ssqwerty,马云騄,55,500,396,479,16744,28800
ssqwerty,张星彩,58,500,401,493,18465,467
ssqwerty,张辽,59,400,527,581,10888,602
ssqwerty,乐进,60,400,477,538,12367,495
ssqwerty,于禁,61,400,529,582,10675,553
ssqwerty,张郃,62,400,528,575,9460,603
ssqwerty,徐晃,63,400,382,442,12150,445
ssqwerty,摸金校尉,64,350,303,355,10549,357
ssqwerty,张春华,66,500,400,442,8517,466
ssqwerty,祝融,68,500,1554,1568,2936,1614
ssqwerty,高长恭,69,54,173,197,4878,248
ssqwerty,霍去病,71,349,370,423,10728,487
ssqwerty,陆逊,72,300,413,476,12753,488
profile,姓名,id,等级,武力,满武力,书籍经验,总资质
18612160829,零零发,1,400,136,244,21681,190
18612160829,鳌拜,2,400,150,209,11828,189
18612160829,和珅,3,250,78,129,10371,168
18612160829,郑板桥,4,300,125,165,8167,173
18612160829,喜来乐,5,300,160,213,10774,202
18612160829,苏乞儿,6,400,185,281,19395,227
18612160829,李卫,7,200,23,25,419,101
18612160829,刘伯温,8,350,102,181,15857,162
18612160829,林则徐,9,300,107,159,10464,155
18612160829,方世玉,10,350,100,186,17307,250
18612160829,多尔衮,11,350,105,200,19118,198
18612160829,左宗棠,12,350,135,145,2130,183
18612160829,张之洞,13,350,160,263,20788,391
18612160829,蒲松龄,14,300,124,168,8899,304
18612160829,李鸿章,15,300,86,129,8692,128
18612160829,李寻欢,16,400,365,495,26186,407
18612160829,索尼,17,250,94,142,9778,226
18612160829,胡雪岩,18,200,39,39,195,93
18612160829,曹雪芹,19,300,91,146,11092,118
18612160829,海大富,20,350,159,213,10872,201
18612160829,华佗,21,300,114,158,8828,261
18612160829,墨子,22,250,109,149,8081,157
18612160829,杜甫,23,350,108,211,20776,156
18612160829,廉颇,24,350,172,250,15697,199
18612160829,庄周,25,250,102,152,10039,225
18612160829,李元芳,26,350,96,166,14161,144
18612160829,鲁班,27,200,89,129,8175,116
18612160829,孙武,28,350,86,152,13295,113
18612160829,张良,29,200,13,14,304,43
18612160829,姜子牙,30,200,13,13,105,49
18612160829,孙膑,31,200,16,16,94,43
18612160829,关羽,33,500,3477,3532,11007,3504
18612160829,张飞,34,400,396,475,15912,438
18612160829,赵云,35,400,2027,2075,9693,2054
18612160829,马超,36,350,666,715,9999,690
18612160829,黄忠,37,400,419,476,11498,446
18612160829,诸葛亮,38,400,732,755,4620,828
18612160829,庞统,39,400,284,382,19642,323
18612160829,周瑜,40,400,490,526,7261,532
18612160829,郭嘉,41,500,906,971,13147,987
18612160829,匈奴王,42,350,113,221,21687,128
18612160829,荆轲,43,400,396,492,19395,5757
18612160829,韦小宝,44,400,207,332,25075,4815
18612160829,黄飞鸿,45,400,700,762,12412,736
18612160829,李白,46,350,612,650,7729,1434
18612160829,关银屏,51,500,5508,5580,14582,5577
18612160829,马云騄,55,500,202,276,14805,10129
18612160829,张春华,66,400,34,158,24819,100
profile,姓名,id,等级,武力,满武力,书籍经验,总资质
wang25687,零零发,1,350,374,382,1691,416
wang25687,鳌拜,2,350,578,579,244,626
wang25687,和珅,3,300,173,175,563,248
wang25687,郑板桥,4,300,168,171,663,210
wang25687,喜来乐,5,300,107,110,705,191
wang25687,苏乞儿,6,350,586,666,16000,622
wang25687,李卫,7,300,133,135,570,289
wang25687,刘伯温,8,350,380,388,1771,440
wang25687,林则徐,9,350,230,300,14026,266
wang25687,方世玉,10,400,495,501,1333,642
wang25687,多尔衮,11,400,500,503,747,551
wang25687,左宗棠,12,400,500,505,1102,560
wang25687,张之洞,13,400,506,511,1055,677
wang25687,蒲松龄,14,300,126,129,620,171
wang25687,李鸿章,15,300,181,185,950,235
wang25687,李寻欢,16,400,500,503,701,542
wang25687,索尼,17,300,144,148,859,357
wang25687,胡雪岩,18,300,157,234,15532,193
wang25687,曹雪芹,19,300,187,190,641,214
wang25687,海大富,20,400,507,511,995,543
wang25687,华佗,21,300,132,211,15895,243
wang25687,墨子,22,300,233,346,22777,269
wang25687,杜甫,23,400,496,501,1114,556
wang25687,廉颇,24,400,518,580,12464,617
wang25687,庄周,25,300,143,147,868,197
wang25687,李元芳,26,400,440,449,1894,506
wang25687,鲁班,27,300,48,51,608,75
wang25687,孙武,28,400,498,502,839,525
wang25687,张良,29,124,22,63,8203,52
wang25687,姜子牙,30,300,18,19,327,45
wang25687,孙膑,31,51,13,24,2330,40
wang25687,关羽,33,400,1948,1960,2453,1984
wang25687,张飞,34,400,491,498,1405,533
wang25687,赵云,35,400,493,505,2565,520
wang25687,马超,36,400,565,658,18747,769
wang25687,黄忠,37,400,529,648,23806,565
wang25687,诸葛亮,38,500,631,640,1911,667
wang25687,庞统,39,400,499,700,40343,547
wang25687,周瑜,40,400,498,732,46836,540
wang25687,郭嘉,41,400,519,777,51624,579
wang25687,荆轲,43,350,570,694,24937,723
wang25687,韦小宝,44,400,525,566,8329,1818
wang25687,黄飞鸿,45,350,569,637,13787,614
wang25687,李白,46,350,729,811,16424,1449
wang25687,吕布,47,400,662,703,8364,689
wang25687,孙尚香,50,400,525,697,34481,4050
wang25687,关银屏,51,500,4164,4227,12763,4233
wang25687,马云騄,55,500,523,527,926,20455
wang25687,张春华,66,400,504,570,13395,570
profile,姓名,id,等级,武力,满武力,书籍经验,总资质
15504973518,零零发,1,350,182,200,3605,224
15504973518,鳌拜,2,350,276,292,3331,333
15504973518,和珅,3,250,69,116,9540,114
15504973518,郑板桥,4,300,104,165,12231,176
15504973518,喜来乐,5,250,102,170,13746,150
15504973518,苏乞儿,6,350,444,456,2468,528
15504973518,李卫,7,300,104,145,8251,326
15504973518,刘伯温,8,350,194,217,4732,242
15504973518,林则徐,9,250,104,149,9170,140
15504973518,方世玉,10,350,180,188,1694,357
15504973518,多尔衮,11,350,190,209,3922,370
15504973518,左宗棠,12,350,65,158,18646,119
15504973518,张之洞,13,300,110,147,7468,272
15504973518,蒲松龄,14,300,174,213,7973,219
15504973518,李鸿章,15,250,88,125,7582,124
15504973518,李寻欢,16,350,170,241,14362,284
15504973518,索尼,17,250,81,118,7474,207
