姓名,id,等级,武力,满武力,书籍经验,总资质
张春华,66,400,34,158,24819,100
马云騄,55,500,202,276,14805,10129
关银屏,51,500,5508,5580,14582,5577
李白,46,350,612,650,7729,1434
黄飞鸿,45,400,700,762,12412,736
韦小宝,44,400,207,332,25075,4815
荆轲,43,400,396,492,19395,5757
匈奴王,42,350,113,221,21687,128
郭嘉,41,500,906,971,13147,987
周瑜,40,400,490,526,7261,532
庞统,39,400,284,382,19642,323
诸葛亮,38,400,732,755,4620,828
黄忠,37,400,419,476,11498,446
马超,36,350,666,715,9999,690
赵云,35,400,2027,2075,9693,2054
张飞,34,400,396,475,15912,438
关羽,33,500,3477,3532,11007,3504
孙膑,31,200,16,16,94,43
姜子牙,30,200,13,13,105,49
张良,29,200,13,14,304,43
孙武,28,350,86,152,13295,113
鲁班,27,200,89,129,8175,116
李元芳,26,350,96,166,14161,144
庄周,25,250,102,152,10039,225
廉颇,24,350,172,250,15697,199
杜甫,23,350,108,211,20776,156
墨子,22,250,109,149,8081,157
华佗,21,300,114,158,8828,261
海大富,20,350,159,213,10872,201
曹雪芹,19,300,91,146,11092,118
胡雪岩,18,200,39,39,195,93
索尼,17,250,94,142,9778,226
李寻欢,16,400,365,495,26186,407
李鸿章,15,300,86,129,8692,128
蒲松龄,14,300,124,168,8899,304
张之洞,13,350,160,263,20788,391
左宗棠,12,350,135,145,2130,183
多尔衮,11,350,105,200,19118,198
方世玉,10,350,100,186,17307,250
林则徐,9,300,107,159,10464,155
刘伯温,8,350,102,181,15857,162
李卫,7,200,23,25,419,101
苏乞儿,6,400,185,281,19395,227
喜来乐,5,300,160,213,10774,202
郑板桥,4,300,125,165,8167,173
和珅,3,250,78,129,10371,168
鳌拜,2,400,150,209,11828,189
零零发,1,400,136,244,21681,190
