名字,皮肤,书桌,钱,关卡,巾帼令,将臣布匹,书院装扮,巾帼装扮,联盟碎片,联盟道具,联盟高级道具,武力卷轴,智力卷轴,政治卷轴,魅力卷轴,卷轴,小黄书,大黄书,亲密1,亲密2,亲密包,魅力1,魅力2
wang25687,skin,12,28399,178,26,118,书院,无巾帼,0,0,10,495,2167,586,561,481,8062,4,378,5224,11385,16186,2717
ssqwerty,no skin,20,193423,178,82,155,书院,巾帼,3,0,10,1648,842,527,529,202,3231,1273,19374,7421,1463,18091,9212
18612160829,no skin,20,50397,177,62,84,无书院,巾帼,1,0,3,5,2,6,3,6,7983,3,11564,3649,1160,24173,12587
15504973518,skin,20,63247,171,57,73,无书院,巾帼,2,1,6,1407,1594,1779,1477,708,8084,720,3101,4886,1939,12789,11645
13812788376,skin,20,66804,170,57,68,无书院,巾帼,3,2,8,215,1704,1286,1294,428,8189,316,9890,3016,1555,968,5012
457181660,no skin,18,38866,160,69,51,无书院,无巾帼,0,0,3,485,965,1539,990,281,4594,698,7976,1630,765,5108,7871
z7211191,skin,20,68845,168,39,56,书院,巾帼,1,1,23,1112,1661,1797,1172,115,5583,2513,12980,6941,1154,25118,6063
15686784340,no skin,20,32327,163,29,51,无书院,无巾帼,2,0,1,211,628,653,215,2877,4835,2128,4217,4393,1306,12377,4580
shinecy1126,no skin,20,25455,154,35,41,无书院,巾帼,0,0,38,225,372,377,237,2750,4865,102,286,2097,1201,7498,3426
lonely7201984,no skin,20,77562,156,42,44,书院,巾帼,1,0,5,4,1093,522,193,211,7658,161,11762,5899,1339,23347,9042
liu271,no skin,20,114954,165,41,47,书院,巾帼,0,0,18,180,179,777,169,2965,4782,1600,7464,4973,694,18648,8082
cq1473691,no skin,14,20690,141,21,24,无书院,无巾帼,2,0,20,0,591,746,690,0,17,2,2738,1351,323,6425,2573
cq1473693,no skin,14,14024,137,18,31,无书院,无巾帼,2,0,20,0,739,853,813,8,53,2,1811,1293,343,4545,2254
