profile,姓名,id,等级,武力,战力,满武力,书籍经验,总资质
wang25687,零零发,1,350,412,7.27,414,457,450
wang25687,鳌拜,2,350,580,10.24,597,3528,677
wang25687,和珅,3,300,173,2.61,179,1362,268
wang25687,郑板桥,4,300,168,2.54,190,4599,463
wang25687,喜来乐,5,300,107,1.62,139,6536,350
wang25687,苏乞儿,6,350,588,10.38,677,17893,624
wang25687,李卫,7,300,133,2.01,142,1899,279
wang25687,刘伯温,8,350,454,8.03,456,473,673
wang25687,林则徐,9,350,230,4.06,322,18425,787
wang25687,方世玉,10,400,495,10.03,516,4395,570
wang25687,多尔衮,11,400,500,10.08,517,3402,549
wang25687,左宗棠,12,400,500,10.10,521,4262,565
wang25687,张之洞,13,400,506,10.20,543,7402,682
wang25687,蒲松龄,14,300,126,1.90,153,5436,297
wang25687,李鸿章,15,300,181,2.74,198,3473,356
wang25687,李寻欢,16,400,502,10.14,513,2268,590
wang25687,索尼,17,300,144,2.18,163,3895,305
wang25687,胡雪岩,18,300,157,2.37,245,17752,371
wang25687,曹雪芹,19,300,187,2.83,197,2029,377
wang25687,海大富,20,400,507,10.24,521,2805,579
wang25687,华佗,21,300,132,2.00,220,17793,187
wang25687,墨子,22,300,233,3.53,366,26616,436
wang25687,杜甫,23,400,498,10.06,520,4554,646
wang25687,廉颇,24,400,518,10.47,590,14475,570
wang25687,庄周,25,300,143,2.16,162,3951,266
wang25687,李元芳,26,400,496,10.02,501,1102,553
wang25687,鲁班,27,300,48,.72,53,1090,115
wang25687,孙武,28,400,500,10.08,518,3794,534
wang25687,张良,29,135,22,.15,70,9695,44
wang25687,姜子牙,30,300,18,.27,32,2958,73
wang25687,孙膑,31,51,13,.03,28,3065,38
wang25687,关羽,33,400,1950,41.00,2020,14138,2146
wang25687,张飞,34,400,509,10.37,545,7329,658
wang25687,赵云,35,400,515,11.24,561,9207,614
wang25687,马超,36,400,585,11.94,718,26792,669
wang25687,黄忠,37,400,555,11.31,701,29339,605
wang25687,诸葛亮,38,500,647,16.73,657,2132,3008
wang25687,庞统,39,400,524,10.74,709,37140,743
wang25687,周瑜,40,400,503,10.20,760,51467,627
wang25687,郭嘉,41,400,533,11.12,808,55163,2044
wang25687,荆轲,43,350,570,10.07,750,36062,1384
wang25687,韦小宝,44,400,527,10.65,609,16491,1032
wang25687,黄飞鸿,45,350,569,10.05,644,15155,898
wang25687,李白,46,350,729,12.85,827,19691,987
wang25687,吕布,47,400,662,13.39,742,16145,1044
wang25687,孙尚香,50,400,525,10.61,764,47908,2317
wang25687,关银屏,51,500,4164,108.33,4273,21853,11866
wang25687,马云騄,55,500,525,13.36,587,12407,7211
wang25687,张春华,66,470,504,11.96,626,24468,4155
ssqwerty,零零发,1,400,538,10.85,540,514,626
ssqwerty,鳌拜,2,400,545,11.00,550,1072,643
ssqwerty,和珅,3,350,184,3.24,245,12214,565
ssqwerty,郑板桥,4,300,171,2.58,224,10793,520
ssqwerty,喜来乐,5,250,188,2.36,244,11302,386
ssqwerty,苏乞儿,6,400,566,11.43,641,15120,655
ssqwerty,李卫,7,300,176,2.66,210,6990,414
ssqwerty,刘伯温,8,350,470,8.28,504,6869,526
ssqwerty,林则徐,9,350,251,4.42,299,9667,737
ssqwerty,方世玉,10,341,335,5.75,380,9160,383
ssqwerty,多尔衮,11,350,395,6.96,472,15462,441
ssqwerty,左宗棠,12,400,525,10.61,543,3614,586
ssqwerty,张之洞,13,400,500,10.08,518,3736,556
ssqwerty,蒲松龄,14,250,171,2.15,202,6265,364
ssqwerty,李鸿章,15,300,178,2.69,190,2454,358
ssqwerty,李寻欢,16,400,568,11.49,639,14377,634
ssqwerty,索尼,17,300,170,2.57,181,2295,450
ssqwerty,胡雪岩,18,250,191,2.40,202,2254,433
ssqwerty,曹雪芹,19,300,149,2.25,160,2350,502
ssqwerty,海大富,20,400,535,10.82,587,10400,602
ssqwerty,华佗,21,300,157,2.37,168,2242,550
ssqwerty,墨子,22,350,312,5.50,362,10135,629
ssqwerty,杜甫,23,400,502,10.13,528,5221,835
ssqwerty,廉颇,24,400,505,10.19,537,6425,549
ssqwerty,庄周,25,200,32,.32,33,246,61
ssqwerty,李元芳,26,300,400,6.04,492,18585,439
ssqwerty,鲁班,27,59,20,.06,20,120,137
ssqwerty,孙武,28,400,520,10.48,591,14393,576
ssqwerty,张良,29,58,62,.18,64,475,112
ssqwerty,姜子牙,30,58,33,.10,53,4165,91
ssqwerty,孙膑,31,53,20,.05,20,180,135
ssqwerty,关羽,33,400,538,11.90,542,927,601
ssqwerty,张飞,34,400,704,14.45,714,2195,829
ssqwerty,赵云,35,400,602,12.64,605,660,686
ssqwerty,马超,36,500,4857,126.05,4921,12957,4886
