cq147369,72,95,84,80,437,809,288,177,1077,1255,723,16132
muyang1,299,413,402,406,797,2825,949,1472,421,7042,2553,53035
muyang2,50,269,181,139,812,2587,837,885,1403,6565,3090,21771
1358177 yubei,503,665,656,595,720,5337,949,1323,672,3793,3703,12799
1770994 yubeiyi,456,525,514,264,1364,5955,1080,1253,1017,3673,3242,16154
1861216 jia,41,112,42,138,793,1519,459,828,516,3675,2185,25543
12160829 yi,40,94,294,40,863,1488,519,744,751,3181,3183,15850
134886 bing,35,27,411,386,676,1443,898,3376,1489,4531,3691,15960
88699777 ding,36,21,171,33,782,1490,477,757,452,3997,3889,14802
pgh123,384,414,384,104,664,3526,1100,342,262,6083,3040,19422
pgh1234,280,309,281,25,713,3251,1417,221,306,4559,2255,13865
pgh12345,261,281,269,33,753,3381,1116,373,501,3262,2105,9340
pgh123456,95,362,400,453,559,3170,1480,1093,439,3051,2177,8175
