ssqwerty,1234,395,96,84,2,700,308,15877,5986,10452,6587,81385,20,61
cq147369,72,95,85,80,450,843,288,205,1090,1311,758,7276,9,6
muyang1,300,413,402,406,808,2887,949,1543,451,7197,2630,46953,8,12
muyang2,50,269,181,139,827,2659,837,939,1422,6695,3137,12484,8,13
1358177 yubei,503,666,656,596,724,5389,949,1390,685,3926,3743,14719,7,25
1770994 yubeiyi,456,526,514,264,1374,6012,1080,1317,1034,3792,3286,18011,6,21
1861216 jia,42,112,42,139,803,1575,459,914,537,3829,2234,17437,10,12
12160829 yi,40,95,294,40,895,1542,519,828,782,3304,3213,8392,8,10
134886 bing,38,27,411,387,699,1497,899,3443,1507,4662,3731,17803,6,12
88699777 ding,37,21,171,33,792,1549,478,840,470,4122,3921,16375,6,13
pgh123,384,414,384,105,668,3568,1100,380,276,6165,3059,20818,5,13
pgh1234,280,309,282,25,715,3293,1417,256,315,4618,2269,15170,5,18
pgh12345,261,281,270,34,755,3423,1116,411,510,3333,2136,10545,5,13
pgh123456,95,363,400,454,562,3212,1480,1127,449,3102,2195,9730,5,7
