cq147369,121,101,233,233,449,1414,239,2335,1326,13
muyang1,289,498,489,495,1606,4162,1336,9545,3648,19
muyang2,143,441,348,312,1542,4140,1407,9038,4154,20
1358177 yubei,586,743,737,680,1512,6655,1368,6369,4751,33
1770994 yubeiyi,544,611,602,349,2152,7271,1490,6147,4249,28
1861216 jia,116,190,123,213,1532,2801,837,6597,3310,19
12160829 yi,111,165,363,106,1586,2785,897,5804,4238,15
134886 bing,121,112,492,470,1487,2710,1313,7125,4756,18
88699777 ding,109,89,240,101,1530,2783,883,6515,4943,18
pgh123,398,481,451,172,1401,4749,1480,7780,3854,20
pgh1234,281,353,329,72,1408,4479,1758,6108,3000,25
pgh12345,82,294,289,47,1051,4387,1190,4794,2763,20
pgh123456,32,302,746,400,184,4548,1815,4653,3009,13
