cq147369,215,211,340,352,118,1796,120
muyang1,293,498,493,497,1723,4559,1409
muyang2,148,441,351,315,1645,4542,1477
1358177 yubei,589,744,740,683,1613,7058,1453
1770994 yubeiyi,547,613,606,351,2264,7660,1560
1861216 jia,120,193,126,215,1635,3229,943
12160829 yi,115,168,366,109,1665,3206,1000
134886 bing,126,113,496,473,1574,3120,1403
88699777 ding,115,91,245,101,1629,3198,973
pgh123,401,482,457,176,1495,5132,1537
pgh1234,283,357,331,75,1489,4863,1815
pgh12345,88,295,295,49,1127,4765,1238
pgh123456,36,303,750,402,261,4913,1872
