pby123,no skin,12,22408,140,21,10,无书院,无巾帼,0,1,1,100,450,436,168,1523,5389,2013,929,540,305,5181,2966
pby1234,no skin,12,27245,146,14,19,无书院,无巾帼,2,1,3,15,551,517,561,1245,5267,1955,988,644,391,5489,2850
pby12345,no skin,12,29028,136,15,21,无书院,无巾帼,1,1,2,140,857,707,1015,0,766,2,971,417,401,5271,3090
pby123456,no skin,16,20239,138,21,25,无书院,无巾帼,1,1,2,88,811,805,804,129,4979,1901,987,726,472,5221,2866
pby1234567,no skin,16,26148,140,30,15,无书院,无巾帼,2,1,3,91,737,793,933,1,37,2,986,820,465,4721,2563
pby12345678,no skin,16,23453,137,22,20,无书院,无巾帼,2,1,3,0,411,740,749,0,14,2,848,716,929,3667,2194
pby123456789,no skin,12,19099,142,9,52,无书院,巾帼,1,1,3,0,428,433,475,2,45,2,893,620,783,4356,2495
1358177 yubei,no skin,17,13671,150,38,22,无书院,巾帼,1,0,0,599,752,750,693,1762,7605,1560,1998,1117,179,8338,5440
1770994 yubeiyi,no skin,13,30312,146,33,17,无书院,无巾帼,0,0,2,440,990,974,674,1021,8226,2,1777,1415,173,8073,4948
1861216 jia,no skin,18,29828,157,24,23,无书院,无巾帼,1,0,0,127,195,129,220,1774,3773,1063,1709,1008,183,8764,4085
12160829 yi,no skin,14,32230,157,20,23,无书院,无巾帼,1,0,0,118,170,371,112,1781,3753,1114,1339,1119,167,7721,4976
134886 bing,no skin,14,30257,153,23,16,无书院,无巾帼,0,0,3,132,118,504,477,1705,3674,1518,4046,1905,189,9096,5532
88699777 ding,no skin,14,31726,150,23,19,无书院,无巾帼,1,0,0,119,98,250,105,1768,3750,1088,1463,903,179,8464,5690
