profile,姓名,id,等级,武力,满武力,书籍经验,总资质
pgh1234567,零零发,1,300,74,75,337,80
pgh1234567,鳌拜,2,100,36,52,3295,45
pgh1234567,和珅,3,20,3,10,1565,18
pgh1234567,郑板桥,4,10,3,5,400,9
pgh1234567,喜来乐,5,10,4,6,405,10
pgh1234567,苏乞儿,6,200,28,42,2908,34
pgh1234567,李卫,7,1,3,6,780,24
pgh1234567,刘伯温,8,300,48,49,212,54
pgh1234567,林则徐,9,20,3,6,765,9
pgh1234567,方世玉,10,300,5,25,4181,20
pgh1234567,多尔衮,11,70,5,11,1242,14
pgh1234567,左宗棠,12,80,5,7,570,11
pgh1234567,张之洞,13,59,6,14,1640,27
pgh1234567,蒲松龄,14,59,4,12,1760,19
pgh1234567,李鸿章,15,59,3,5,580,9
pgh1234567,李寻欢,16,100,8,17,1992,14
pgh1234567,索尼,17,30,4,5,390,28
pgh1234567,胡雪岩,18,10,3,5,540,9
pgh1234567,曹雪芹,19,10,5,11,1255,14
pgh1234567,海大富,20,150,16,19,754,22
pgh1234567,华佗,21,50,3,5,425,27
pgh1234567,墨子,22,20,3,4,370,9
pgh1234567,杜甫,23,100,4,16,2466,10
pgh1234567,廉颇,24,59,14,16,470,23
pgh1234567,庄周,25,1,3,5,515,30
pgh1234567,李元芳,26,1,4,9,1070,10
pgh1234567,鲁班,27,1,3,4,340,12
pgh1234567,孙武,28,1,10,11,250,19
pgh1234567,张良,29,1,3,3,30,33
pgh1234567,关羽,33,130,12,16,818,21
pgh1234567,张飞,34,1,11,12,210,17
pgh1234567,赵云,35,1,11,14,680,20
pgh1234567,马超,36,400,684,685,200,696
pgh1234567,黄忠,37,1,11,11,170,20
pgh1234567,诸葛亮,38,300,54,56,462,60
pgh1234567,庞统,39,1,8,9,340,17
pgh1234567,周瑜,40,2,8,9,270,14
pgh1234567,郭嘉,41,350,291,293,529,300
pgh1234567,韦小宝,44,350,15,15,191,1266
pgh1234567,关银屏,51,350,454,459,1166,472
pgh1234567,马云騄,55,400,34,34,178,190
pgh1234567,王异,65,1,148,149,300,166
pgh12345678,零零发,1,300,114,115,271,126
pgh12345678,鳌拜,2,100,44,60,3281,62
pgh12345678,和珅,3,10,10,11,385,85
pgh12345678,郑板桥,4,10,18,20,430,30
pgh12345678,喜来乐,5,10,7,9,415,19
pgh12345678,苏乞儿,6,100,21,31,2136,33
pgh12345678,李卫,7,20,7,9,470,28
pgh12345678,刘伯温,8,300,56,58,537,68
pgh12345678,林则徐,9,20,10,11,330,22
pgh12345678,方世玉,10,300,35,35,64,62
pgh12345678,多尔衮,11,70,30,34,936,48
pgh12345678,左宗棠,12,59,10,15,1070,22
pgh12345678,张之洞,13,59,12,34,4465,66
pgh12345678,蒲松龄,14,70,9,12,754,69
