profile,姓名,id,等级,武力,战力,满武力,书籍经验,总资质
pgh1234567,零零发,1,300,74,1.11,76,587,80
pgh1234567,鳌拜,2,100,36,.18,53,3583,44
pgh1234567,和珅,3,20,3,.00,10,1565,12
pgh1234567,郑板桥,4,10,3,.00,5,410,14
pgh1234567,喜来乐,5,10,4,.00,6,425,15
pgh1234567,苏乞儿,6,200,28,.28,43,3110,35
pgh1234567,李卫,7,1,3,.00,6,780,14
pgh1234567,刘伯温,8,300,48,.72,49,222,60
pgh1234567,林则徐,9,20,3,.00,6,775,16
pgh1234567,方世玉,10,300,5,.07,25,4191,15
pgh1234567,多尔衮,11,70,5,.02,11,1242,15
pgh1234567,左宗棠,12,80,5,.02,7,580,15
pgh1234567,张之洞,13,59,6,.02,14,1640,21
pgh1234567,蒲松龄,14,59,4,.01,12,1760,18
pgh1234567,李鸿章,15,59,3,.01,5,580,17
pgh1234567,李寻欢,16,100,8,.04,18,2032,16
pgh1234567,索尼,17,30,4,.01,6,400,17
pgh1234567,胡雪岩,18,10,3,.00,5,540,16
pgh1234567,曹雪芹,19,10,5,.00,11,1285,18
pgh1234567,海大富,20,150,16,.12,19,774,25
pgh1234567,华佗,21,50,3,.01,5,425,17
pgh1234567,墨子,22,20,3,.00,4,380,17
pgh1234567,杜甫,23,100,4,.02,16,2466,17
pgh1234567,廉颇,24,59,14,.04,16,480,23
pgh1234567,庄周,25,1,3,.00,5,525,18
pgh1234567,李元芳,26,1,4,.00,9,1070,18
pgh1234567,鲁班,27,1,3,.00,4,350,18
pgh1234567,孙武,28,1,10,.00,11,250,19
pgh1234567,张良,29,1,3,.00,3,40,19
pgh1234567,关羽,33,130,12,.08,17,1034,21
pgh1234567,张飞,34,1,11,.00,13,430,20
pgh1234567,赵云,35,1,11,.00,15,880,20
pgh1234567,马超,36,400,684,13.68,685,232,693
pgh1234567,黄忠,37,1,11,.00,12,390,20
pgh1234567,诸葛亮,38,300,54,.81,57,716,66
pgh1234567,庞统,39,1,8,.00,9,340,20
pgh1234567,周瑜,40,2,8,.00,9,270,18
pgh1234567,郭嘉,41,350,291,5.09,294,741,622
pgh1234567,韦小宝,44,350,15,.26,16,297,459
pgh1234567,关银屏,51,350,454,7.95,460,1390,476
pgh1234567,马云騄,55,400,34,.68,36,428,98
pgh1234567,王异,65,1,148,.01,150,490,428
pgh12345678,零零发,1,300,114,1.71,116,553,126
pgh12345678,鳌拜,2,100,44,.22,61,3471,60
pgh12345678,和珅,3,10,10,.01,11,385,43
pgh12345678,郑板桥,4,10,18,.01,20,450,35
pgh12345678,喜来乐,5,10,7,.00,9,415,35
pgh12345678,苏乞儿,6,100,21,.10,32,2350,35
pgh12345678,李卫,7,20,7,.01,9,480,22
pgh12345678,刘伯温,8,300,56,.84,59,729,72
pgh12345678,林则徐,9,20,10,.01,11,340,41
pgh12345678,方世玉,10,300,35,.53,35,74,54
pgh12345678,多尔衮,11,70,30,.10,34,966,50
pgh12345678,左宗棠,12,59,10,.03,15,1070,31
pgh12345678,张之洞,13,59,12,.04,34,4465,40
pgh12345678,蒲松龄,14,70,9,.03,12,768,42
pgh12345678,李鸿章,15,1,9,.00,11,465,33
pgh12345678,李寻欢,16,140,25,.17,30,1046,39
pgh12345678,索尼,17,70,6,.02,10,804,36
pgh12345678,胡雪岩,18,10,10,.01,12,585,35
pgh12345678,曹雪芹,19,10,6,.00,7,305,26
pgh12345678,海大富,20,150,22,.17,28,1213,36
pgh12345678,华佗,21,90,7,.03,10,789,33
pgh12345678,墨子,22,10,9,.00,11,410,40
pgh12345678,杜甫,23,100,16,.08,18,503,36
pgh12345678,廉颇,24,40,21,.04,23,419,33
pgh12345678,庄周,25,2,9,.00,10,320,34
pgh12345678,李元芳,26,1,12,.00,20,1730,30
pgh12345678,鲁班,27,1,6,.00,7,330,21
pgh12345678,孙武,28,1,10,.00,10,60,22
pgh12345678,张良,29,1,6,.00,6,50,22
pgh12345678,关羽,33,50,20,.05,22,404,31
pgh12345678,张飞,34,1,24,.00,26,440,35
pgh12345678,赵云,35,2,21,.00,24,735,30
pgh12345678,马超,36,350,256,4.48,258,433,309
pgh12345678,黄忠,37,10,11,.01,13,470,22
pgh12345678,诸葛亮,38,300,76,1.14,80,885,150
pgh12345678,庞统,39,1,16,.00,18,450,33
pgh12345678,周瑜,40,1,21,.00,23,460,37
pgh12345678,郭嘉,41,350,207,3.62,210,607,535
pgh12345678,韦小宝,44,350,24,.42,27,670,572
pgh12345678,关银屏,51,400,1308,26.16,1321,2723,2142
pgh12345678,马云騄,55,400,28,.56,36,1786,97
pgh123456789,零零发,1,300,84,1.26,85,355,90
pgh123456789,鳌拜,2,100,34,.17,53,3864,41
pgh123456789,和珅,3,20,3,.00,7,965,12
pgh123456789,郑板桥,4,20,6,.01,9,750,16
pgh123456789,喜来乐,5,20,3,.00,22,3830,13
pgh123456789,苏乞儿,6,100,14,.07,25,2223,20
pgh123456789,李卫,7,10,3,.00,10,1502,14
pgh123456789,刘伯温,8,300,64,.96,67,660,75
pgh123456789,林则徐,9,30,3,.00,12,1945,15
pgh123456789,方世玉,10,300,5,.07,39,6806,14
pgh123456789,多尔衮,11,100,5,.03,30,5155,15
pgh123456789,左宗棠,12,100,15,.07,34,3883,24
pgh123456789,张之洞,13,54,12,.03,33,4294,26
pgh123456789,蒲松龄,14,100,3,.01,13,2057,20
pgh123456789,李鸿章,15,10,3,.00,15,2510,16
pgh123456789,李寻欢,16,150,24,.18,25,241,31
pgh123456789,索尼,17,60,3,.01,12,1857,16
pgh123456789,胡雪岩,18,10,3,.00,12,1815,16
pgh123456789,曹雪芹,19,10,3,.00,22,3970,16
pgh123456789,海大富,20,150,24,.18,24,94,32
pgh123456789,华佗,21,100,3,.01,9,1277,17
pgh123456789,墨子,22,70,3,.01,8,1052,17
pgh123456789,杜甫,23,100,36,.18,36,179,50
pgh123456789,廉颇,24,20,9,.01,44,7175,17
pgh123456789,庄周,25,2,3,.00,21,3750,18
pgh123456789,李元芳,26,1,4,.00,13,1905,17
pgh123456789,鲁班,27,1,3,.00,5,535,18
pgh123456789,孙武,28,1,94,.00,95,290,102
pgh123456789,张良,29,1,3,.00,3,120,19
pgh123456789,关羽,33,350,172,3.01,174,595,469
pgh123456789,张飞,34,150,14,.10,19,1061,23
pgh123456789,赵云,35,40,11,.02,16,1120,20
pgh123456789,马超,36,350,150,2.62,154,859,201
pgh123456789,黄忠,37,1,7,.00,11,950,16
pgh123456789,诸葛亮,38,300,60,.90,64,905,71
pgh123456789,庞统,39,150,13,.10,15,437,25
pgh123456789,周瑜,40,150,16,.12,18,401,26
pgh123456789,郭嘉,41,400,660,13.20,662,490,1148
pgh123456789,韦小宝,44,350,15,.26,15,97,473
pgh123456789,关银屏,51,350,1244,21.77,1245,388,2033
pgh123456789,马云騄,55,400,38,.76,40,456,100
pby123,零零发,1,300,80,1.20,82,589,88
pby123,鳌拜,2,100,50,.25,53,715,60
pby123,和珅,3,20,5,.01,7,555,14
pby123,郑板桥,4,20,5,.01,12,1460,18
pby123,喜来乐,5,20,4,.00,7,700,18
pby123,苏乞儿,6,150,16,.12,28,2485,26
pby123,李卫,7,30,4,.01,8,810,15
pby123,刘伯温,8,300,54,.81,55,393,68
pby123,林则徐,9,59,5,.01,7,450,20
pby123,方世玉,10,300,5,.07,40,7137,18
pby123,多尔衮,11,100,5,.03,18,2788,16
pby123,左宗棠,12,100,5,.03,19,2991,18
pby123,张之洞,13,50,12,.03,33,4330,28
pby123,蒲松龄,14,50,4,.01,10,1355,18
pby123,李鸿章,15,50,4,.01,13,1995,21
pby123,李寻欢,16,150,14,.10,22,1667,25
pby123,索尼,17,1,4,.00,11,1560,17
pby123,胡雪岩,18,1,4,.00,4,160,19
pby123,曹雪芹,19,1,4,.00,5,274,17
pby123,海大富,20,150,8,.06,15,1500,20
pby123,华佗,21,10,4,.00,12,1600,18
pby123,墨子,22,1,4,.00,10,1380,20
pby123,杜甫,23,11,4,.00,36,6420,20
pby123,廉颇,24,11,9,.00,12,625,19
pby123,庄周,25,1,4,.00,9,1090,19
pby123,李元芳,26,1,4,.00,7,770,20
pby123,鲁班,27,1,4,.00,5,340,19
pby123,孙武,28,1,10,.00,11,210,20
pby123,张良,29,1,4,.00,4,90,20
pby123,关羽,33,50,16,.04,20,990,25
pby123,张飞,34,1,11,.00,13,530,22
pby123,赵云,35,1,11,.00,15,970,20
pby123,马超,36,350,144,2.52,146,553,165
pby123,黄忠,37,1,11,.00,13,400,20
pby123,诸葛亮,38,300,100,1.50,103,671,114
pby123,庞统,39,1,8,.00,11,670,21
pby123,周瑜,40,1,8,.00,19,2260,20
pby123,郭嘉,41,400,801,16.02,804,704,1167
pby123,韦小宝,44,350,18,.32,20,407,462
pby123,关银屏,51,400,640,12.80,651,2396,1523
pby123,马云騄,55,400,38,.76,40,544,108
pby1234,零零发,1,300,58,.87,81,4648,64
pby1234,鳌拜,2,40,32,.06,48,3365,38
pby1234,和珅,3,20,4,.00,7,720,13
pby1234,郑板桥,4,20,4,.00,5,360,14
pby1234,喜来乐,5,20,3,.00,5,490,13
pby1234,苏乞儿,6,100,7,.04,25,3603,13
pby1234,李卫,7,30,4,.01,6,420,15
pby1234,刘伯温,8,300,42,.63,45,672,53
pby1234,林则徐,9,10,3,.00,13,2130,15
pby1234,方世玉,10,300,5,.07,33,5622,14
pby1234,多尔衮,11,100,5,.03,20,3146,14
pby1234,左宗棠,12,100,5,.03,18,2686,14
pby1234,张之洞,13,60,12,.04,39,5536,25
pby1234,蒲松龄,14,60,3,.01,11,1698,16
pby1234,李鸿章,15,60,3,.01,9,1220,16
pby1234,李寻欢,16,100,8,.04,16,1763,15
pby1234,索尼,17,1,3,.00,11,1675,16
pby1234,胡雪岩,18,1,3,.00,5,510,16
pby1234,曹雪芹,19,1,3,.00,9,1365,16
pby1234,海大富,20,100,8,.04,12,908,16
pby1234,华佗,21,10,3,.00,14,2255,17
pby1234,墨子,22,10,3,.00,6,680,17
pby1234,杜甫,23,14,4,.00,34,6060,71
pby1234,廉颇,24,1,9,.00,12,655,17
pby1234,庄周,25,1,3,.00,6,765,18
pby1234,李元芳,26,1,4,.00,13,1820,17
pby1234,鲁班,27,1,3,.00,5,400,18
pby1234,孙武,28,1,10,.00,11,250,18
pby1234,张良,29,1,3,.00,3,140,19
pby1234,关羽,33,40,12,.02,14,520,21
pby1234,张飞,34,1,7,.00,12,1060,16
pby1234,赵云,35,1,11,.00,16,1050,20
pby1234,马超,36,150,51,.38,53,417,60
pby1234,黄忠,37,1,11,.00,13,400,20
pby1234,诸葛亮,38,400,674,13.48,676,400,1027
pby1234,庞统,39,1,8,.00,11,780,19
pby1234,周瑜,40,1,198,.01,199,370,208
pby1234,郭嘉,41,350,285,4.99,290,1017,296
pby1234,韦小宝,44,350,12,.21,14,532,362
pby1234,关银屏,51,400,722,14.44,733,2344,1007
pby1234,马云騄,55,400,38,.76,43,1192,100
pby12345,零零发,1,300,78,1.17,79,267,84
pby12345,鳌拜,2,100,38,.19,53,3180,46
pby12345,和珅,3,10,4,.00,5,350,13
pby12345,郑板桥,4,10,6,.00,7,250,17
pby12345,喜来乐,5,10,14,.01,24,2075,25
pby12345,苏乞儿,6,100,11,.06,21,2161,18
pby12345,李卫,7,30,30,.04,30,180,41
pby12345,刘伯温,8,300,46,.69,48,475,58
pby12345,林则徐,9,10,4,.00,5,390,17
pby12345,方世玉,10,300,25,.38,26,313,35
pby12345,多尔衮,11,100,15,.07,18,732,25
pby12345,左宗棠,12,100,10,.05,12,535,20
pby12345,张之洞,13,50,10,.03,32,4475,25
pby12345,蒲松龄,14,50,3,.01,8,1155,17
pby12345,李鸿章,15,30,3,.00,16,2600,17
pby12345,李寻欢,16,100,8,.04,13,1031,16
pby12345,索尼,17,1,3,.00,12,1845,16
pby12345,胡雪岩,18,1,3,.00,14,2210,16
pby12345,曹雪芹,19,1,3,.00,3,30,16
pby12345,海大富,20,150,14,.10,20,1296,23
pby12345,华佗,21,10,3,.00,13,2185,17
pby12345,墨子,22,30,3,.00,10,1430,17
pby12345,杜甫,23,20,4,.00,13,1910,17
pby12345,廉颇,24,1,14,.00,17,740,23
pby12345,庄周,25,1,3,.00,12,1900,18
pby12345,李元芳,26,1,4,.00,13,1870,18
pby12345,鲁班,27,1,3,.00,3,190,18
pby12345,孙武,28,1,10,.00,10,140,19
pby12345,张良,29,1,3,.00,3,50,19
pby12345,关羽,33,59,16,.05,20,955,25
pby12345,张飞,34,1,11,.00,13,540,20
pby12345,赵云,35,150,26,.20,28,567,35
pby12345,马超,36,2,30,.00,35,1110,39
pby12345,黄忠,37,1,7,.00,12,1080,16
pby12345,诸葛亮,38,300,65,.97,68,753,77
pby12345,庞统,39,59,8,.02,10,575,20
pby12345,周瑜,40,1,8,.00,10,480,18
pby12345,郭嘉,41,400,663,13.26,666,650,1023
pby12345,韦小宝,44,350,108,1.89,110,481,451
pby12345,关银屏,51,350,196,3.43,228,6550,218
pby12345,马云騄,55,400,78,1.56,82,890,147
pby123456,零零发,1,300,26,.39,88,12428,32
pby123456,鳌拜,2,100,32,.16,58,5325,39
pby123456,和珅,3,10,3,.00,15,2520,12
pby123456,郑板桥,4,10,5,.00,16,2265,15
pby123456,喜来乐,5,20,3,.00,15,2455,13
pby123456,苏乞儿,6,80,7,.03,28,4242,13
pby123456,李卫,7,10,4,.00,6,595,15
pby123456,刘伯温,8,300,18,.27,48,6051,29
pby123456,林则徐,9,10,3,.00,5,595,15
pby123456,方世玉,10,300,5,.07,31,5372,14
pby123456,多尔衮,11,50,5,.01,24,3875,15
pby123456,左宗棠,12,100,5,.03,30,5114,14
pby123456,张之洞,13,50,10,.03,35,5025,24
pby123456,蒲松龄,14,50,3,.01,21,3780,16
pby123456,李鸿章,15,5,3,.00,11,1720,16
pby123456,李寻欢,16,150,14,.10,28,2809,21
pby123456,索尼,17,1,3,.00,7,925,16
pby123456,胡雪岩,18,1,3,.00,10,1530,16
pby123456,海大富,20,100,8,.04,31,4685,16
pby123456,华佗,21,1,3,.00,8,1120,17
pby123456,墨子,22,4,3,.00,5,585,17
pby123456,杜甫,23,2,4,.00,35,6280,16
pby123456,廉颇,24,11,9,.00,18,1880,17
pby123456,庄周,25,1,3,.00,13,2095,18
pby123456,李元芳,26,1,4,.00,27,4770,17
pby123456,鲁班,27,1,3,.00,4,260,18
pby123456,孙武,28,1,10,.00,10,90,18
